====================================================================================
|  #  |    SYMBOL    |      TYPE      |                VALUE                | LINE |
|=====|==============|================|=====================================|======|
|  1  | STARTPROGRAM |        Program |                        STARTPROGRAM |    2 |
|  2  |     VARIABLE |           Vars |                            VARIABLE |    3 |
|  3  |        INT_4 |        VarType |                               INT_4 |    3 |
|  4  |              |     Identifier |                               _aaaa |    3 |
|  5  |            , |          Comma |                                   , |    3 |
|  6  |              |     Identifier |                               _bbbb |    3 |
|  7  |            , |          Comma |                                   , |    3 |
|  8  |              |     Identifier |                               _xxxx |    3 |
|  9  |            , |          Comma |                                   , |    3 |
|  10 |              |     Identifier |                               _yyyy |    3 |
|  11 |            ; |      Semicolon |                                   ; |    3 |
|  12 |    STARTBLOK |          Start |                           STARTBLOK |    4 |
|  13 |        WRITE |          Write |                               WRITE |    5 |
|  14 |            ( |        LBraket |                                   ( |    5 |
|  15 |              |         String |                           Input A:  |    5 |
|  16 |            ) |        RBraket |                                   ) |    5 |
|  17 |            ; |      Semicolon |                                   ; |    5 |
|  18 |         READ |           Read |                                READ |    6 |
|  19 |            ( |        LBraket |                                   ( |    6 |
|  20 |              |     Identifier |                               _aaaa |    6 |
|  21 |            ) |        RBraket |                                   ) |    6 |
|  22 |            ; |      Semicolon |                                   ; |    6 |
|  23 |        WRITE |          Write |                               WRITE |    7 |
|  24 |            ( |        LBraket |                                   ( |    7 |
|  25 |              |         String |                           Input B:  |    7 |
|  26 |            ) |        RBraket |                                   ) |    7 |
|  27 |            ; |      Semicolon |                                   ; |    7 |
|  28 |         READ |           Read |                                READ |    8 |
|  29 |            ( |        LBraket |                                   ( |    8 |
|  30 |              |     Identifier |                               _bbbb |    8 |
|  31 |            ) |        RBraket |                                   ) |    8 |
|  32 |            ; |      Semicolon |                                   ; |    8 |
|  33 |        WRITE |          Write |                               WRITE |    9 |
|  34 |            ( |        LBraket |                                   ( |    9 |
|  35 |              |         String |                             A + B:  |    9 |
|  36 |            ) |        RBraket |                                   ) |    9 |
|  37 |            ; |      Semicolon |                                   ; |    9 |
|  38 |        WRITE |          Write |                               WRITE |   10 |
|  39 |            ( |        LBraket |                                   ( |   10 |
|  40 |              |     Identifier |                               _aaaa |   10 |
|  41 |          ADD |       Addition |                                 ADD |   10 |
|  42 |              |     Identifier |                               _bbbb |   10 |
|  43 |            ) |        RBraket |                                   ) |   10 |
|  44 |            ; |      Semicolon |                                   ; |   10 |
|  45 |        WRITE |          Write |                               WRITE |   11 |
|  46 |            ( |        LBraket |                                   ( |   11 |
|  47 |              |         String |                           \nA - B:  |   11 |
|  48 |            ) |        RBraket |                                   ) |   11 |
|  49 |            ; |      Semicolon |                                   ; |   11 |
|  50 |        WRITE |          Write |                               WRITE |   12 |
|  51 |            ( |        LBraket |                                   ( |   12 |
|  52 |              |     Identifier |                               _aaaa |   12 |
|  53 |          SUB |    Subtraction |                                 SUB |   12 |
|  54 |              |     Identifier |                               _bbbb |   12 |
|  55 |            ) |        RBraket |                                   ) |   12 |
|  56 |            ; |      Semicolon |                                   ; |   12 |
|  57 |        WRITE |          Write |                               WRITE |   13 |
|  58 |            ( |        LBraket |                                   ( |   13 |
|  59 |              |         String |                           \nA * B:  |   13 |
|  60 |            ) |        RBraket |                                   ) |   13 |
|  61 |            ; |      Semicolon |                                   ; |   13 |
|  62 |        WRITE |          Write |                               WRITE |   14 |
|  63 |            ( |        LBraket |                                   ( |   14 |
