==========================================================
|  #  |    SYMBOL    |    TYPE    |     VALUE     | LINE |
|=====|==============|============|===============|======|
|  1  | STARTPROGRAM |    Program |  STARTPROGRAM |    2 |
|  2  |     VARIABLE |       Vars |      VARIABLE |    3 |
|  3  |        INT_4 |    VarType |         INT_4 |    3 |
|  4  |              | Identifier |         _aaaa |    3 |
|  5  |            , |      Comma |             , |    3 |
|  6  |              | Identifier |         _bbbb |    3 |
|  7  |            , |      Comma |             , |    3 |
|  8  |              | Identifier |         _cccc |    3 |
|  9  |            ; |  Semicolon |             ; |    3 |
|  10 |    STARTBLOK |      Start |     STARTBLOK |    4 |
|  11 |        WRITE |      Write |         WRITE |    5 |
|  12 |            ( |    LBraket |             ( |    5 |
|  13 |              |     String |     Input A:  |    5 |
|  14 |            ) |    RBraket |             ) |    5 |
|  15 |            ; |  Semicolon |             ; |    5 |
|  16 |         READ |       Read |          READ |    6 |
|  17 |            ( |    LBraket |             ( |    6 |
|  18 |              | Identifier |         _aaaa |    6 |
|  19 |            ) |    RBraket |             ) |    6 |
|  20 |            ; |  Semicolon |             ; |    6 |
|  21 |        WRITE |      Write |         WRITE |    7 |
|  22 |            ( |    LBraket |             ( |    7 |
|  23 |              |     String |     Input B:  |    7 |
|  24 |            ) |    RBraket |             ) |    7 |
|  25 |            ; |  Semicolon |             ; |    7 |
|  26 |         READ |       Read |          READ |    8 |
|  27 |            ( |    LBraket |             ( |    8 |
|  28 |              | Identifier |         _bbbb |    8 |
|  29 |            ) |    RBraket |             ) |    8 |
|  30 |            ; |  Semicolon |             ; |    8 |
|  31 |        WRITE |      Write |         WRITE |    9 |
|  32 |            ( |    LBraket |             ( |    9 |
|  33 |              |     String |     Input C:  |    9 |
|  34 |            ) |    RBraket |             ) |    9 |
|  35 |            ; |  Semicolon |             ; |    9 |
|  36 |         READ |       Read |          READ |   10 |
|  37 |            ( |    LBraket |             ( |   10 |
|  38 |              | Identifier |         _cccc |   10 |
|  39 |            ) |    RBraket |             ) |   10 |
|  40 |            ; |  Semicolon |             ; |   10 |
|  41 |           IF |         If |            IF |   11 |
|  42 |            ( |    LBraket |             ( |   11 |
|  43 |              | Identifier |         _aaaa |   11 |
|  44 |           GT |     Greate |            GT |   11 |
|  45 |              | Identifier |         _bbbb |   11 |
|  46 |            ) |    RBraket |             ) |   11 |
|  47 |    STARTBLOK |      Start |     STARTBLOK |   12 |
|  48 |           IF |         If |            IF |   13 |
|  49 |            ( |    LBraket |             ( |   13 |
|  50 |              | Identifier |         _aaaa |   13 |
|  51 |           GT |     Greate |            GT |   13 |
|  52 |              | Identifier |         _cccc |   13 |
|  53 |            ) |    RBraket |             ) |   13 |
|  54 |    STARTBLOK |      Start |     STARTBLOK |   14 |
|  55 |         GOTO |       Goto |          GOTO |   15 |
|  56 |              | Identifier |         _temp |   15 |
|  57 |            ; |  Semicolon |             ; |   15 |
|  58 |      ENDBLOK |        End |       ENDBLOK |   16 |
|  59 |         ELSE |       Else |          ELSE |   17 |
|  60 |    STARTBLOK |      Start |     STARTBLOK |   18 |
|  61 |        WRITE |      Write |         WRITE |   19 |
|  62 |            ( |    LBraket |             ( |   19 |
|  63 |              | Identifier |         _cccc |   19 |
|  64 |            ) |    RBraket |             ) |   19 |
|  65 |            ; |  Semicolon |             ; |   19 |
|  66 |         GOTO |       Goto |          GOTO |   20 |
|  67 |              | Identifier |         _outi |   20 |
|  68 |            ; |  Semicolon |             ; |   20 |
