==========================================================================
|  #  |    SYMBOL    |      TYPE      |           VALUE           | LINE |
|=====|==============|================|===========================|======|
|  1  | STARTPROGRAM |        Program |              STARTPROGRAM |    2 |
|  2  |     VARIABLE |           Vars |                  VARIABLE |    3 |
|  3  |        INT_4 |        VarType |                     INT_4 |    3 |
|  4  |              |     Identifier |                     _aaaa |    3 |
|  5  |            , |          Comma |                         , |    3 |
|  6  |              |     Identifier |                     _aaa2 |    3 |
|  7  |            , |          Comma |                         , |    3 |
|  8  |              |     Identifier |                     _bbbb |    3 |
|  9  |            , |          Comma |                         , |    3 |
|  10 |              |     Identifier |                     _xxxx |    3 |
|  11 |            , |          Comma |                         , |    3 |
|  12 |              |     Identifier |                     _ccc1 |    3 |
|  13 |            , |          Comma |                         , |    3 |
|  14 |              |     Identifier |                     _ccc2 |    3 |
|  15 |            ; |      Semicolon |                         ; |    3 |
|  16 |    STARTBLOK |          Start |                 STARTBLOK |    4 |
|  17 |        WRITE |          Write |                     WRITE |    5 |
|  18 |            ( |        LBraket |                         ( |    5 |
|  19 |              |         String |                 Input A:  |    5 |
|  20 |            ) |        RBraket |                         ) |    5 |
|  21 |            ; |      Semicolon |                         ; |    5 |
|  22 |         READ |           Read |                      READ |    6 |
|  23 |            ( |        LBraket |                         ( |    6 |
|  24 |              |     Identifier |                     _aaaa |    6 |
|  25 |            ) |        RBraket |                         ) |    6 |
|  26 |            ; |      Semicolon |                         ; |    6 |
|  27 |        WRITE |          Write |                     WRITE |    7 |
|  28 |            ( |        LBraket |                         ( |    7 |
|  29 |              |         String |                 Input B:  |    7 |
|  30 |            ) |        RBraket |                         ) |    7 |
|  31 |            ; |      Semicolon |                         ; |    7 |
|  32 |         READ |           Read |                      READ |    8 |
|  33 |            ( |        LBraket |                         ( |    8 |
|  34 |              |     Identifier |                     _bbbb |    8 |
|  35 |            ) |        RBraket |                         ) |    8 |
|  36 |            ; |      Semicolon |                         ; |    8 |
|  37 |        WRITE |          Write |                     WRITE |    9 |
|  38 |            ( |        LBraket |                         ( |    9 |
|  39 |              |         String |                 FOR TO DO |    9 |
|  40 |            ) |        RBraket |                         ) |    9 |
|  41 |            ; |      Semicolon |                         ; |    9 |
|  42 |          FOR |            For |                       FOR |   10 |
|  43 |              |     Identifier |                     _aaa2 |   10 |
|  44 |           <- |     Assignment |                        <- |   10 |
|  45 |              |     Identifier |                     _aaaa |   10 |
|  46 |           TO |             To |                        TO |   10 |
|  47 |              |     Identifier |                     _bbbb |   10 |
|  48 |           DO |             Do |                        DO |   10 |
|  49 |    STARTBLOK |          Start |                 STARTBLOK |   11 |
|  50 |        WRITE |          Write |                     WRITE |   12 |
|  51 |            ( |        LBraket |                         ( |   12 |
|  52 |              |         String |                        \n |   12 |
|  53 |            ) |        RBraket |                         ) |   12 |
|  54 |            ; |      Semicolon |                         ; |   12 |
|  55 |        WRITE |          Write |                     WRITE |   13 |
|  56 |            ( |        LBraket |                         ( |   13 |
|  57 |              |     Identifier |                     _aaa2 |   13 |
|  58 |          MUL | Multiplication |                       MUL |   13 |
|  59 |              |     Identifier |                     _aaa2 |   13 |
|  60 |            ) |        RBraket |                         ) |   13 |
|  61 |            ; |      Semicolon |                         ; |   13 |
|  62 |      ENDBLOK |            End |                   ENDBLOK |   14 |
|  63 |        WRITE |          Write |                     WRITE |   15 |
|  64 |            ( |        LBraket |                         ( |   15 |
|  65 |              |         String |           \nFOR DOWNTO DO |   15 |
